Paper Index; Article_Link
0;https://mobilednajournal.biomedcentral.com/articles/10.1186/s13100-020-00214-y
1;https://mobilednajournal.biomedcentral.com/articles/10.1186/s13100-019-0145-8
2;https://mobilednajournal.biomedcentral.com/articles/10.1186/s13100-022-00270-6
3;https://mobilednajournal.biomedcentral.com/articles/10.1186/s13100-021-00256-w
4;https://mobilednajournal.biomedcentral.com/articles/10.1186/s13100-020-00218-8
5;https://mobilednajournal.biomedcentral.com/articles/10.1186/s13100-020-00221-z
6;https://mobilednajournal.biomedcentral.com/articles/10.1186/s13100-019-0183-2
7;https://mobilednajournal.biomedcentral.com/articles/10.1186/s13100-022-00261-7
8;https://mobilednajournal.biomedcentral.com/articles/10.1186/s13100-019-0195-y
9;https://mobilednajournal.biomedcentral.com/articles/10.1186/s13100-021-00234-2
10;https://mobilednajournal.biomedcentral.com/articles/10.1186/s13100-019-0175-2
11;https://mobilednajournal.biomedcentral.com/articles/10.1186/s13100-019-0193-0
12;https://mobilednajournal.biomedcentral.com/articles/10.1186/s13100-022-00282-2
13;https://mobilednajournal.biomedcentral.com/articles/10.1186/s13100-022-00280-4
14;https://mobilednajournal.biomedcentral.com/articles/10.1186/s13100-022-00285-z
15;https://mobilednajournal.biomedcentral.com/articles/10.1186/s13100-020-00219-7
16;https://mobilednajournal.biomedcentral.com/articles/10.1186/s13100-022-00265-3
17;https://mobilednajournal.biomedcentral.com/articles/10.1186/s13100-019-0172-5
18;https://mobilednajournal.biomedcentral.com/articles/10.1186/s13100-019-0196-x
19;https://mobilednajournal.biomedcentral.com/articles/10.1186/s13100-019-0163-6
20;https://mobilednajournal.biomedcentral.com/articles/10.1186/s13100-019-0182-3
21;https://mobilednajournal.biomedcentral.com/articles/10.1186/s13100-019-0170-7
22;https://mobilednajournal.biomedcentral.com/articles/10.1186/s13100-019-0154-7
23;https://mobilednajournal.biomedcentral.com/articles/10.1186/s13100-019-0181-4
24;https://mobilednajournal.biomedcentral.com/articles/10.1186/s13100-019-0199-7
25;https://mobilednajournal.biomedcentral.com/articles/10.1186/s13100-019-0150-y
26;https://mobilednajournal.biomedcentral.com/articles/10.1186/s13100-023-00290-w
27;https://mobilednajournal.biomedcentral.com/articles/10.1186/s13100-019-0187-y
28;https://mobilednajournal.biomedcentral.com/articles/10.1186/s13100-019-0198-8
29;https://mobilednajournal.biomedcentral.com/articles/10.1186/s13100-019-0157-4
30;https://mobilednajournal.biomedcentral.com/articles/10.1186/s13100-020-00212-0
31;https://mobilednajournal.biomedcentral.com/articles/10.1186/s13100-020-0204-1
32;https://mobilednajournal.biomedcentral.com/articles/10.1186/s13100-020-00224-w
33;https://mobilednajournal.biomedcentral.com/articles/10.1186/s13100-020-00208-w
34;https://mobilednajournal.biomedcentral.com/articles/10.1186/s13100-020-0202-3
35;https://mobilednajournal.biomedcentral.com/articles/10.1186/s13100-020-0205-0
36;https://mobilednajournal.biomedcentral.com/articles/10.1186/s13100-020-00206-y
37;https://mobilednajournal.biomedcentral.com/articles/10.1186/s13100-020-0203-2
38;https://mobilednajournal.biomedcentral.com/articles/10.1186/s13100-020-00209-9
39;https://mobilednajournal.biomedcentral.com/articles/10.1186/s13100-020-00207-x
40;https://mobilednajournal.biomedcentral.com/articles/10.1186/s13100-020-0201-4
41;https://mobilednajournal.biomedcentral.com/articles/10.1186/s13100-019-0186-z
42;https://mobilednajournal.biomedcentral.com/articles/10.1186/s13100-019-0177-0
43;https://mobilednajournal.biomedcentral.com/articles/10.1186/s13100-019-0165-4
44;https://mobilednajournal.biomedcentral.com/articles/10.1186/s13100-019-0184-1
45;https://mobilednajournal.biomedcentral.com/articles/10.1186/s13100-019-0160-9
46;https://mobilednajournal.biomedcentral.com/articles/10.1186/s13100-019-0197-9
47;https://mobilednajournal.biomedcentral.com/articles/10.1186/s13100-019-0168-1
48;https://mobilednajournal.biomedcentral.com/articles/10.1186/s13100-019-0166-3
49;https://mobilednajournal.biomedcentral.com/articles/10.1186/s13100-019-0185-0
